Compound_ID	Standard Type	Standard Units	Smiles	Standard Value	pChEMBL Value	Assay ChEMBL ID	Standard Relation	Target ChEMBL ID	n_isomers	Molecular Weight
CHEMBL278199	IC50	nM	N[C@@H](Cc1ccc(O)cc1)C(=O)N[C@H]1CSSC[C@@H](C(=O)O)NC(=O)C2(CCCC2)CCNC1=O	0.5	9.30	CHEMBL820787	=	CHEMBL278	1	524.176326744
CHEMBL278199	IC50	nM	N[C@@H](Cc1ccc(O)cc1)C(=O)N[C@H]1CSSC[C@@H](C(=O)O)NC(=O)C2(CCCC2)CCNC1=O	24.0	7.62	CHEMBL820786	=	CHEMBL278	1	524.176326744
CHEMBL17240	IC50	nM	CC1(C)CCNC(=O)[C@@H](NC(=O)[C@@H](N)Cc2ccc(O)cc2)CSSC[C@@H](C(=O)O)NC1=O	112.0	6.95	CHEMBL820787	=	CHEMBL278	1	498.16067668
CHEMBL276353	IC50	nM	CCC1(CC)CCNC(=O)[C@@H](NC(=O)[C@@H](N)Cc2ccc(O)cc2)CSSC[C@@H](C(=O)O)NC1=O	3.9	8.41	CHEMBL820787	=	CHEMBL278	1	526.1919768079999
CHEMBL274280	IC50	nM	N[C@@H](Cc1ccc(O)cc1)C(=O)N[C@H]1CSSC[C@@H](C(=O)O)NC(=O)C2(CCCC2)CCCNC1=O	19.0	7.72	CHEMBL820787	=	CHEMBL278	1	538.1919768079999
CHEMBL274280	IC50	nM	N[C@@H](Cc1ccc(O)cc1)C(=O)N[C@H]1CSSC[C@@H](C(=O)O)NC(=O)C2(CCCC2)CCCNC1=O	480.0	6.32	CHEMBL820786	=	CHEMBL278	1	538.1919768079999
CHEMBL16742	IC50	nM	N[C@@H](Cc1ccc(O)cc1)C(=O)N[C@H]1CSSC[C@@H](C(=O)O)NC(=O)C2(CCCC2)CNC1=O	5.0	8.30	CHEMBL820787	=	CHEMBL278	1	510.16067667999994
CHEMBL16475	IC50	nM	CC(=O)N[C@@H](Cc1ccc(O)cc1)C(=O)N[C@@H]1CSSC[C@H](C(=O)O)NC(=O)[C@H]2CCCN2C(=O)[C@@H](CC(=O)O)NC1=O	1.8	8.74	CHEMBL820787	=	CHEMBL278	1	639.166884256
CHEMBL16475	IC50	nM	CC(=O)N[C@@H](Cc1ccc(O)cc1)C(=O)N[C@@H]1CSSC[C@H](C(=O)O)NC(=O)[C@H]2CCCN2C(=O)[C@@H](CC(=O)O)NC1=O	200.0	6.70	CHEMBL820786	=	CHEMBL278	1	639.166884256
CHEMBL16710	IC50	nM	CC(=O)N[C@@H](Cc1ccc(O)cc1)C(=O)N[C@H]1CSSC[C@@H](C(=O)O)NC(=O)C2(CCCC2)CCNC1=O	0.7	9.15	CHEMBL820787	=	CHEMBL278	1	566.186891428
CHEMBL16710	IC50	nM	CC(=O)N[C@@H](Cc1ccc(O)cc1)C(=O)N[C@H]1CSSC[C@@H](C(=O)O)NC(=O)C2(CCCC2)CCNC1=O	12.0	7.92	CHEMBL820786	=	CHEMBL278	1	566.186891428
CHEMBL16888	IC50	nM	N[C@@H](Cc1ccc(O)cc1)C(=O)NC1CCCCC[C@@H](C(=O)O)NC(=O)C2(CCCC2)CCNC1=O	750.0	6.12	CHEMBL820788	=	CHEMBL278	2	502.27913493599993
CHEMBL16888	IC50	nM	N[C@@H](Cc1ccc(O)cc1)C(=O)NC1CCCCC[C@@H](C(=O)O)NC(=O)C2(CCCC2)CCNC1=O	550.0	6.26	CHEMBL820788	=	CHEMBL278	2	502.27913493599993
CHEMBL16695	IC50	nM	N[C@@H](Cc1ccc(O)cc1)C(=O)NC1CCCC[C@@H](C(=O)O)NC(=O)C2(CCCC2)CCNC1=O	44.0	7.36	CHEMBL820788	=	CHEMBL278	2	488.26348487199994
CHEMBL278199	IC50	nM	N[C@@H](Cc1ccc(O)cc1)C(=O)N[C@H]1CSSC[C@@H](C(=O)O)NC(=O)C2(CCCC2)CCNC1=O	0.5	9.30	CHEMBL820788	=	CHEMBL278	1	524.176326744
CHEMBL278476	IC50	nM	N[C@@H](Cc1ccc(O)cc1)C(=O)N/C1=C/CCC[C@@H](C(=O)O)NC(=O)C2(CCCC2)CCNC1=O	160.0	6.80	CHEMBL820788	=	CHEMBL278	1	486.24783480799994
CHEMBL16695	IC50	nM	N[C@@H](Cc1ccc(O)cc1)C(=O)NC1CCCC[C@@H](C(=O)O)NC(=O)C2(CCCC2)CCNC1=O	89.0	7.05	CHEMBL820788	=	CHEMBL278	2	488.26348487199994
CHEMBL16385	IC50	nM	N[C@@H](Cc1ccc(O)cc1)C(=O)N/C1=C/CCCC[C@@H](C(=O)O)NC(=O)C2(CCCC2)CCNC1=O	330.0	6.48	CHEMBL820788	=	CHEMBL278	1	500.26348487199994
CHEMBL389844	IC50	nM	COc1cc(CC(=O)N2C[C@@H](F)C[C@H]2COc2ccc(C(=O)O)cc2)ccc1NC(=O)Nc1ccccc1C	1.2	8.92	CHEMBL903783	=	CHEMBL278	1	535.2118639
CHEMBL389844	IC50	nM	COc1cc(CC(=O)N2C[C@@H](F)C[C@H]2COc2ccc(C(=O)O)cc2)ccc1NC(=O)Nc1ccccc1C	3.7	8.43	CHEMBL903784	=	CHEMBL278	1	535.2118639
CHEMBL228576	IC50	nM	COc1cc(CC(=O)N2C[C@@H](F)C[C@H]2COc2ccc(C(=O)O)cc2)ccc1NC(=O)Nc1ccccc1C(C)C	769.0	6.11	CHEMBL903783	=	CHEMBL278	1	563.243164028
CHEMBL223465	IC50	nM	COc1cc(CC(=O)N2C[C@@H](F)C[C@H]2COc2ccc(C(=O)O)cc2)ccc1NC(=O)Nc1ccccc1C(F)(F)F	106.0	6.97	CHEMBL903783	=	CHEMBL278	1	589.1835984639999
CHEMBL228575	IC50	nM	COc1ccccc1NC(=O)Nc1ccc(CC(=O)N2C[C@@H](F)C[C@H]2COc2ccc(C(=O)O)cc2)cc1OC	9.2	8.04	CHEMBL903783	=	CHEMBL278	1	551.20677852
CHEMBL274350	IC50	nM	COc1cc(CC(=O)N2C[C@@H](F)C[C@H]2COc2ccc(C(=O)O)cc2)ccc1NC(=O)Nc1ccccc1Br	1.6	8.80	CHEMBL903783	=	CHEMBL278	1	599.106725904
CHEMBL390057	IC50	nM	COc1cc(CC(=O)N2C[C@@H](F)C[C@H]2COc2ccc(C(=O)O)cc2)ccc1NC(=O)Nc1ccccc1Cl	0.87	9.06	CHEMBL903783	=	CHEMBL278	1	555.1572414839999
CHEMBL228575	IC50	nM	COc1ccccc1NC(=O)Nc1ccc(CC(=O)N2C[C@@H](F)C[C@H]2COc2ccc(C(=O)O)cc2)cc1OC	268.0	6.57	CHEMBL903784	=	CHEMBL278	1	551.20677852
CHEMBL274350	IC50	nM	COc1cc(CC(=O)N2C[C@@H](F)C[C@H]2COc2ccc(C(=O)O)cc2)ccc1NC(=O)Nc1ccccc1Br	16.0	7.80	CHEMBL903784	=	CHEMBL278	1	599.106725904
CHEMBL390057	IC50	nM	COc1cc(CC(=O)N2C[C@@H](F)C[C@H]2COc2ccc(C(=O)O)cc2)ccc1NC(=O)Nc1ccccc1Cl	6.2	8.21	CHEMBL903784	=	CHEMBL278	1	555.1572414839999
CHEMBL228731	IC50	nM	O=C(Nc1ccccc1Br)Nc1ccc(CC(=O)N2C[C@@H](F)C[C@H]2COc2ccc(C(=O)O)cc2)cc1Br	1.4	8.85	CHEMBL903783	=	CHEMBL278	1	647.0066732879999
CHEMBL228730	IC50	nM	O=C(Nc1ccccc1Cl)Nc1ccc(CC(=O)N2C[C@@H](F)C[C@H]2COc2ccc(C(=O)O)cc2)cc1Br	1.3	8.89	CHEMBL903783	=	CHEMBL278	1	603.0571888679999
CHEMBL426910	IC50	nM	Cc1ccccc1NC(=O)Nc1ccc(CC(=O)N2C[C@@H](F)C[C@H]2COc2ccc(C(=O)O)cc2)cc1Br	0.78	9.11	CHEMBL903783	=	CHEMBL278	1	583.1118112839998
CHEMBL387660	IC50	nM	O=C(Nc1ccc(CC(=O)N2C[C@@H](F)C[C@H]2COc2ccc(C(=O)O)cc2)cc1Cl)Nc1ccccc1Br	1.7	8.77	CHEMBL903783	=	CHEMBL278	1	603.057188868
CHEMBL387659	IC50	nM	O=C(Nc1ccccc1Cl)Nc1ccc(CC(=O)N2C[C@@H](F)C[C@H]2COc2ccc(C(=O)O)cc2)cc1Cl	1.3	8.89	CHEMBL903783	=	CHEMBL278	1	559.1077044479999
CHEMBL425647	IC50	nM	Cc1ccccc1NC(=O)Nc1ccc(CC(=O)N2C[C@@H](F)C[C@H]2COc2ccc(C(=O)O)cc2)cc1Cl	0.51	9.29	CHEMBL903783	=	CHEMBL278	1	539.1623268639999
CHEMBL228678	IC50	nM	Cc1ccccc1NC(=O)Nc1ccc(CC(=O)N2C[C@@H](F)C[C@H]2COc2ccc(C(=O)O)cc2)cc1C(F)(F)F	15.0	7.82	CHEMBL903783	=	CHEMBL278	1	573.1886838439999
CHEMBL389641	IC50	nM	Cc1ccccc1NC(=O)Nc1ccc(CC(=O)N2C[C@@H](F)C[C@H]2COc2ccc(C(=O)O)cc2)cc1C(C)C	216.0	6.67	CHEMBL903783	=	CHEMBL278	1	547.248249408
CHEMBL228629	IC50	nM	CCc1cc(CC(=O)N2C[C@@H](F)C[C@H]2COc2ccc(C(=O)O)cc2)ccc1NC(=O)Nc1ccccc1C	15.0	7.82	CHEMBL903783	=	CHEMBL278	1	533.232599344
CHEMBL228628	IC50	nM	Cc1cc(CC(=O)N2C[C@@H](F)C[C@H]2COc2ccc(C(=O)O)cc2)ccc1NC(=O)Nc1ccccc1Br	9.8	8.01	CHEMBL903783	=	CHEMBL278	1	583.1118112839999
CHEMBL389640	IC50	nM	Cc1cc(CC(=O)N2C[C@@H](F)C[C@H]2COc2ccc(C(=O)O)cc2)ccc1NC(=O)Nc1ccccc1Cl	13.0	7.89	CHEMBL903783	=	CHEMBL278	1	539.162326864
CHEMBL426908	IC50	nM	Cc1ccccc1NC(=O)Nc1ccc(CC(=O)N2C[C@@H](F)C[C@H]2COc2ccc(C(=O)O)cc2)cc1C	2.3	8.64	CHEMBL903783	=	CHEMBL278	1	519.2169492799999
CHEMBL228731	IC50	nM	O=C(Nc1ccccc1Br)Nc1ccc(CC(=O)N2C[C@@H](F)C[C@H]2COc2ccc(C(=O)O)cc2)cc1Br	95.0	7.02	CHEMBL903784	=	CHEMBL278	1	647.0066732879999
CHEMBL228730	IC50	nM	O=C(Nc1ccccc1Cl)Nc1ccc(CC(=O)N2C[C@@H](F)C[C@H]2COc2ccc(C(=O)O)cc2)cc1Br	51.0	7.29	CHEMBL903784	=	CHEMBL278	1	603.0571888679999
CHEMBL426910	IC50	nM	Cc1ccccc1NC(=O)Nc1ccc(CC(=O)N2C[C@@H](F)C[C@H]2COc2ccc(C(=O)O)cc2)cc1Br	8.4	8.08	CHEMBL903784	=	CHEMBL278	1	583.1118112839998
CHEMBL387660	IC50	nM	O=C(Nc1ccc(CC(=O)N2C[C@@H](F)C[C@H]2COc2ccc(C(=O)O)cc2)cc1Cl)Nc1ccccc1Br	137.0	6.86	CHEMBL903784	=	CHEMBL278	1	603.057188868
CHEMBL387659	IC50	nM	O=C(Nc1ccccc1Cl)Nc1ccc(CC(=O)N2C[C@@H](F)C[C@H]2COc2ccc(C(=O)O)cc2)cc1Cl	81.0	7.09	CHEMBL903784	=	CHEMBL278	1	559.1077044479999
CHEMBL425647	IC50	nM	Cc1ccccc1NC(=O)Nc1ccc(CC(=O)N2C[C@@H](F)C[C@H]2COc2ccc(C(=O)O)cc2)cc1Cl	7.2	8.14	CHEMBL903784	=	CHEMBL278	1	539.1623268639999
